fast,normal
123,176
101,125
81,105
78,106
79,106
80,107
91,121
94,117
105,122
111,127
102,129
93,121
114,127
76,105
76,106
78,108
102,120
99,123
98,120
100,124
97,121
92,119
96,121
81,104
80,106
93,120
103,122
101,120
96,119
105,124
76,106
81,105
79,104
80,106
78,106
82,106
94,125
100,119
102,122
103,123
101,123
95,120
112,129
104,122
104,123
100,123
98,124
97,121
107,127
97,121
97,121
105,125
95,120
99,123
101,120
110,119
111,122
99,123
109,115
108,120
103,117
103,123
92,119
101,122
108,112
96,120
102,116
78,106
79,106
78,105
78,104
82,107
103,122
103,119
110,123
100,126
93,122
98,119
83,120
97,122
93,124
95,121
96,125
96,117
90,105
87,121
96,116
97,122
79,219
79,104
79,105
78,107
79,104
80,106
80,105
81,106
80,106
81,131
81,107
80,107
78,106
80,103
89,117
102,121
79,106
80,107
103,121
91,117
103,120
81,105
106,117
92,117
105,123
78,105
91,119
98,122
107,114
79,157
96,113
93,325
87,113
94,119
94,328
108,116
97,114
105,115
99,323
95,119
104,113
105,121
97,324
98,121
306,116
96,120
93,122
99,126
89,118
91,120
168,120
98,121
101,117
91,329
310,117
103,124
103,118
93,118
104,121
108,119
94,121
307,117
115,121
108,122
95,325
307,117
110,119
96,118
107,323
99,119
96,117
99,116
110,119
305,120
101,126
105,329
107,116
104,327
99,117
98,118
102,115
95,124
98,116
103,124
101,119
101,124
96,124
104,117
97,116
96,124
94,115
302,118
95,318
106,115
101,121
93,121
102,123
87,334
105,119
308,119
97,122
101,120
100,116
107,126
98,116
109,112
105,116
96,117
310,116
95,124
95,114
108,112
307,118
95,121
102,114
104,124
97,123
92,327
96,119
302,118
96,119
94,115
102,115
100,126
299,114
97,117
85,120
103,120
313,117
91,121
94,120
98,117
100,123
101,112
97,129
101,327
86,119
95,119
312,112
98,117
86,123
103,121
99,117
96,120
309,117
98,114
103,316
100,121
97,115
105,116
95,117
100,118
102,119
100,118
99,115
105,119
96,119
93,117
86,119
101,117
97,118
98,117
96,124
95,123
104,123
93,121
98,115
92,118
104,118
105,118
89,117
95,121
102,118
90,121
94,118
107,117
94,116
307,118
310,113
93,122
97,119
105,118
97,114
107,121
99,115
97,119
106,114
102,118
99,112
102,117
95,116
102,119
98,116
97,114
100,322
92,123
94,323
95,119
114,114
103,118
308,119
102,120
106,118
106,116
304,114
98,326
107,115
103,117
92,122
101,122
299,110
98,118
93,117
97,120
299,119
315,116
107,111
105,115
89,119
93,324
95,330
98,120
94,121
108,117
99,118
98,118
99,322
105,120
103,113
303,116
98,117
303,118
110,116
88,123
305,115
315,118
107,115
92,122
96,326
94,329
112,116
96,122
108,113
96,114
106,120
95,118
95,125
99,118
94,330
105,120
107,115
96,115
304,117
99,119
305,119
100,322
105,114
103,121
91,120
100,127
97,123
108,118
94,119
102,111
103,117
95,325
309,123
110,118
98,119
95,119
100,115
96,114
98,323
95,118
306,118
99,126
97,115
101,118
98,117
103,114
92,124
100,116
100,114
93,121
109,118
94,122
103,115
97,117
97,328
100,113
89,121
94,119
97,120
94,114
297,115
96,123
89,120
92,117
91,329
102,122
303,115
106,116
106,123
102,121
92,214
98,120
92,121
99,121
109,114
91,117
109,112
82,108
297,112
97,119
86,114
101,117
98,122
93,331
99,117
307,113
101,119
86,121
80,107
308,118
102,122
84,109
79,107
90,115
90,116
99,122
89,112
99,124
93,119
100,118
106,117
97,123
91,114
95,109
90,116
98,119
106,119
98,124
99,112
91,121
102,119
100,120
89,324
97,114
97,121
104,119
101,120
101,116
103,123
103,118
91,115
100,326
109,113
302,112
310,114
102,120
91,112
83,112
97,114
105,118
97,109
102,120
100,115
99,121
101,114
104,120
302,122
102,116
101,117
103,117
101,122
107,126
106,124
103,124
103,120
112,126
116,124
108,123
106,121
105,121
107,125
102,121
105,124
103,122
110,122
105,122
104,123
107,124
104,122
108,125
105,124
109,122
107,121
107,120
114,124
105,120
122,127
107,122
101,120
101,120
109,124
105,121
105,125
106,120
108,122
104,119
84,110
96,110
106,123
111,123
106,123
104,125
114,124
109,122
108,123
110,124
105,121
112,123
108,125
106,122
104,121
112,126
112,121
111,123
110,122
105,123
114,125
108,123
105,124
106,122
103,122
107,124
105,122
108,126
110,125
113,126
108,121
105,123
103,120
104,122
107,122
111,124
107,122
105,120
121,124
117,126
109,121
105,122
108,123
107,123
111,126
103,122
108,122
108,124
103,119
102,123
113,123
108,123
107,122
114,122
106,122
107,124
111,124
105,123
102,126
102,124
111,123
110,121
108,126
109,122
111,123
109,121
108,127
107,125
107,124
114,124
105,119
110,126
116,124
114,124
110,122
107,121
108,122
115,123
108,122
108,119
107,122
109,126
104,124
113,125
114,125
112,122
109,124
111,123
108,124
117,124
106,122
113,123
110,122
109,123
110,126
110,124
109,122
103,121
108,124
106,121
105,122
115,126
104,121
107,126
107,122
111,124
110,121
108,121
103,125
102,121
109,122
109,124
104,122
112,124
104,123
112,124
105,127
106,122
108,122
104,123
108,125
110,120
113,125
110,122
111,124
106,120
107,124
105,120
109,122
104,120
114,123
115,122
104,124
104,123
105,123
108,122
108,125
109,122
107,124
107,123
105,128
112,125
104,122
103,124
108,124
105,122
109,123
103,124
102,121
108,123
115,123
108,122
105,122
106,123
103,125
105,123
104,121
104,120
108,122
109,119
110,122
107,121
108,123
109,123
106,122
110,124
107,120
107,124
105,123
110,124
112,125
111,123
110,124
105,123
107,122
105,121
109,123
104,121
100,122
107,123
110,121
108,122
108,122
105,122
108,123
107,123
107,123
110,125
106,124
110,124
106,124
103,124
113,124
114,124
110,122
110,122
106,122
114,121
109,123
113,122
106,123
109,124
110,122
105,125
111,123
106,124
107,123
108,122
110,123
112,124
111,123
106,121
109,122
105,121
107,122
105,120
106,121
109,122
105,125
103,124
109,123
107,123
104,123
105,121
108,124
107,125
107,122
107,121
103,124
101,120
106,122
108,123
107,123
105,125
109,123
108,121
108,122
104,126
106,124
113,123
110,123
107,124
109,122
112,122
107,123
114,124
117,120
108,124
110,122
109,120
112,124
107,123
109,125
105,121
104,123
112,123
107,125
105,123
105,122
112,125
109,121
112,123
109,123
106,123
111,123
106,119
112,123
108,124
111,123
116,123
113,125
104,124
117,125
110,121
110,119
109,125
105,123
112,121
106,121
104,123
102,124
104,124
106,123
114,123
102,121
106,122
112,126
105,125
113,123
109,121
103,121
110,124
107,121
108,124
114,126
110,123
105,124
110,121
119,122
110,123
112,125
106,120
103,125
104,122
106,123
110,123
104,125
109,124
105,123
105,121
103,122
107,121
109,121
107,124
109,123
114,123
107,123
106,122
115,126
112,123
105,124
106,126
113,123
112,122
116,126
105,123
105,122
109,123
102,120
105,121
106,127
105,120
109,123
